athlete,gender,region,wod,score,rank,overall_score,overall_rank
Michael Mogard,m,asia,14_4,232,3,51,5
Ben Thompson,m,asia,14_4,233,2,30,4
Eric Carmody,m,asia,14_4,240,1,28,3
Mikko Aronpää,m,asia,14_5,NA,1,25,2
Eric Carmody,m,asia,14_5,NA,2,28,3
Albert Holguin,m,asia,14_5,NA,3,148,11
Youngmin Kang,m,asia,14_5,NA,3,328,35
Young-Jun Kim,m,asia,14_5,NA,6,257,23
Gwan Yoon,m,asia,14_5,NA,6,321,34
Michael Mogard,m,asia,14_5,NA,8,51,5
Eric Sweet,m,asia,14_5,NA,9,133,9
Cho dae hee,m,asia,14_5,NA,10,206,15
Tanner Shuck,m,asia,14_5,NA,11,22,1
Henrik Gjeruldsen,m,asia,14_5,NA,13,337,39
Ben Thompson,m,asia,14_5,NA,14,30,4
Timmy Jacobsson,m,asia,14_5,NA,15,313,32
Ant Haynes,m,asia,14_5,NA,17,132,8
Luke Holmes,m,asia,14_5,NA,18,355,41
Subok Lee,m,asia,14_5,NA,19,136,10
YooSik Kim,m,asia,14_5,NA,20,121,6
Ed Haynes,m,asia,14_5,NA,21,283,29
Marcus Smith,m,asia,14_5,NA,23,198,14
Marwan Al-Marri,m,asia,14_5,NA,24,273,26
Henrik Olofsson,m,asia,14_5,NA,26,170,13
AbdulRahman Bin Ghobash,m,asia,14_5,NA,27,266,25
baek min jong,m,asia,14_5,NA,28,212,16
Jono Whitehead,m,asia,14_5,NA,30,232,18
Sul Min Choi,m,asia,14_5,NA,32,396,49
Charlie Orantes,m,asia,14_5,NA,33,415,55
Yeojoon choi,m,asia,14_5,NA,37,280,28
Phil Hesketh,m,asia,14_5,NA,38,124,7
Young Hoon Choi,m,asia,14_5,NA,40,273,26
sungwook yoo,m,asia,14_5,NA,40,330,36
David ben David,m,asia,14_5,NA,42,428,56
Jordan Reiley,m,asia,14_5,NA,45,236,19
Ivan Marjanovic,m,asia,14_5,NA,46,392,47
Joon Hwan Heo,m,asia,14_5,NA,49,399,50
PARK Hyoung-Jae,m,asia,14_5,NA,51,261,24
Austin Hiracheta,m,asia,14_5,NA,52,213,17
Rashed Almulla,m,asia,14_5,NA,52,319,33
Israel Shamli,m,asia,14_5,NA,55,150,12
zohar lipkin,m,asia,14_5,NA,61,389,45
Neil Seip,m,asia,14_5,NA,64,389,45
Jason Duckett,m,asia,14_5,NA,67,403,51
Saud Alshamsi,m,asia,14_5,NA,70,410,52
Ron Harvey,m,asia,14_5,NA,71,305,31
Ryan Bayliss,m,asia,14_5,NA,73,332,37
Shingo Moromasa,m,asia,14_5,NA,74,357,42
cho jae chul,m,asia,14_5,NA,75,336,38
BEN DAVIES,m,asia,14_5,NA,77,433,57
Taylor Rank,m,asia,14_5,NA,79,241,20
ates boran,m,asia,14_5,NA,82,290,30
William Sullivan,m,asia,14_5,NA,90,410,52
Joseph Mozzi,m,asia,14_5,NA,91,251,21
Naoya Arasaki,m,asia,14_5,NA,92,485,59
Utku Tuncer,m,asia,14_5,NA,96,255,22
Myung Sik kwak,m,asia,14_5,NA,102,485,59
Yong Jun Lee,m,asia,14_5,NA,109,368,44
Sumin Kim,m,asia,14_5,NA,110,410,52
Clay Braden,m,asia,14_5,NA,114,394,48
moshiko grif,m,asia,14_5,NA,145,477,58
Ram Dover,m,asia,14_5,NA,152,339,40
John Britton,m,asia,14_5,NA,195,366,43
Kieran Hogan,m,australia,14_1,352,181,367,41
Luke McGruer,m,australia,14_1,352,181,470,54
Callum Gifford,m,australia,14_1,354,152,412,47
Mitchell Sinnamon,m,australia,14_1,357,125,365,40
Ryan Woodall,m,australia,14_1,358,114,485,55
Luke Pickerd,m,australia,14_1,359,107,467,53
Kosta Ilic,m,australia,14_1,359,107,495,57
Aaron James,m,australia,14_1,360,85,177,13
Luke Starr,m,australia,14_1,360,85,178,14
Hayden LaVanda,m,australia,14_1,360,85,267,25
Kevin Manuel,m,australia,14_1,360,85,287,29
Zeke Grove,m,australia,14_1,360,85,433,50
Daniel Lewis,m,australia,14_1,361,82,340,35
John Templeton,m,australia,14_1,361,82,350,37
William Laister,m,australia,14_1,364,80,329,32
Jerrome McKittrick,m,australia,14_1,365,77,509,59
Jason Haywood,m,australia,14_1,367,73,354,38
Joshua Santhou,m,australia,14_1,373,64,371,42
Ben Wadwell,m,australia,14_1,374,61,394,45
Alex Thackray,m,australia,14_1,374,61,462,51
Nick Fuentes,m,australia,14_1,374,61,463,52
Glen Laws,m,australia,14_1,375,58,393,44
Cielo marchesi,m,australia,14_1,377,56,392,43
Alex Ranieri,m,australia,14_1,380,51,243,21
Patrick Fitzsimons,m,australia,14_1,381,50,183,16
Matthew Forwood,m,australia,14_1,383,48,293,30
Paul Walton,m,australia,14_1,384,46,417,49
Doug Armstrong,m,australia,14_1,388,43,400,46
James Newbury,m,australia,14_1,390,35,134,8
Matt Bice,m,australia,14_1,390,35,267,25
James Connew,m,australia,14_1,390,35,280,27
Jarrod Bowe,m,australia,14_1,390,35,524,60
Brandon Swan,m,australia,14_1,391,31,82,4
Drummond Williamson,m,australia,14_1,391,31,236,19
Chris Hogan,m,australia,14_1,391,31,337,34
Sam Joraslafsky,m,australia,14_1,391,31,413,48
Michael Roach,m,australia,14_1,392,28,238,20
Benjamin Connor,m,australia,14_1,393,25,261,24
Luke McMahon,m,australia,14_1,393,25,285,28
Zach Morton-Adair,m,australia,14_1,394,22,100,6
Michael Gillum,m,australia,14_1,394,22,310,31
Chris Medcraft,m,australia,14_1,395,19,359,39
Nathan Beves,m,australia,14_1,395,19,493,56
Cj Walker,m,australia,14_1,396,16,215,18
Brendan Clarke,m,australia,14_1,396,16,260,23
Wade Barrett,m,australia,14_1,396,16,345,36
Scott Mackenzie,m,australia,14_1,397,15,249,22
Ben Garard,m,australia,14_1,398,13,44,2
Will Edgar,m,australia,14_1,398,13,332,33
Chad Mackay,m,australia,14_1,400,10,178,14
Michael Howson,m,australia,14_1,400,10,502,58
Matt Reilly,m,australia,14_1,401,8,79,3
Keegan Wolfenden,m,australia,14_1,401,8,90,5
Kyle Frankenfeld,m,australia,14_1,402,7,172,12
Scott Hutchison,m,australia,14_1,408,6,155,11
Rory Boyden,m,australia,14_1,410,5,118,7
Khan Porter,m,australia,14_1,414,4,137,9
Rob Forte,m,australia,14_1,424,2,17,1
Michael Mikaere,m,australia,14_1,424,2,154,10
Dean Linder-Leighton,m,australia,14_1,437,1,206,17
Nathan Beves,m,australia,14_2,195,196,493,56
Michael Gillum,m,australia,14_2,200,145,310,31
Sam Joraslafsky,m,australia,14_2,200,145,413,48
Kosta Ilic,m,australia,14_2,200,145,495,57
Will Edgar,m,australia,14_2,201,134,332,33
Michael Howson,m,australia,14_2,201,134,502,58
Daniel Lewis,m,australia,14_2,202,121,340,35
Glen Laws,m,australia,14_2,203,112,393,44
Paul Walton,m,australia,14_2,203,112,417,49
Callum Gifford,m,australia,14_2,204,105,412,47
Jarrod Bowe,m,australia,14_2,205,97,524,60
Alex Ranieri,m,australia,14_2,206,90,243,21
John Templeton,m,australia,14_2,206,90,350,37
Alex Thackray,m,australia,14_2,206,90,462,51
Cielo marchesi,m,australia,14_2,235,81,392,43
Joshua Santhou,m,australia,14_2,238,79,371,42
Rory Boyden,m,australia,14_2,239,78,118,7
William Laister,m,australia,14_2,240,75,329,32
Jason Haywood,m,australia,14_2,240,75,354,38
Ryan Woodall,m,australia,14_2,242,69,485,55
Matthew Forwood,m,australia,14_2,244,66,293,30
Nick Fuentes,m,australia,14_2,248,60,463,52
Brendan Clarke,m,australia,14_2,251,54,260,23
Doug Armstrong,m,australia,14_2,251,54,400,46
Scott Mackenzie,m,australia,14_2,254,49,249,22
Chris Medcraft,m,australia,14_2,254,49,359,39
Zeke Grove,m,australia,14_2,255,47,433,50
Jerrome McKittrick,m,australia,14_2,255,47,509,59
Matt Bice,m,australia,14_2,256,45,267,25
Michael Roach,m,australia,14_2,260,39,238,20
Ben Wadwell,m,australia,14_2,260,39,394,45
Chad Mackay,m,australia,14_2,261,38,178,14
Michael Mikaere,m,australia,14_2,262,34,154,10
Luke McGruer,m,australia,14_2,262,34,470,54
Aaron James,m,australia,14_2,263,31,177,13
Kevin Manuel,m,australia,14_2,263,31,287,29
Dean Linder-Leighton,m,australia,14_2,265,27,206,17
Chris Hogan,m,australia,14_2,265,27,337,34
Wade Barrett,m,australia,14_2,265,27,345,36
Luke Pickerd,m,australia,14_2,265,27,467,53
Keegan Wolfenden,m,australia,14_2,266,26,90,5
Luke Starr,m,australia,14_2,268,24,178,14
Benjamin Connor,m,australia,14_2,268,24,261,24
Kyle Frankenfeld,m,australia,14_2,269,22,172,12
Cj Walker,m,australia,14_2,269,22,215,18
Mitchell Sinnamon,m,australia,14_2,270,17,365,40
Kieran Hogan,m,australia,14_2,270,17,367,41
Zach Morton-Adair,m,australia,14_2,271,16,100,6
Matt Reilly,m,australia,14_2,272,13,79,3
Brandon Swan,m,australia,14_2,272,13,82,4
Khan Porter,m,australia,14_2,273,11,137,9
Drummond Williamson,m,australia,14_2,273,11,236,19
Ben Garard,m,australia,14_2,274,9,44,2
Luke McMahon,m,australia,14_2,276,8,285,28
Rob Forte,m,australia,14_2,277,6,17,1
Hayden LaVanda,m,australia,14_2,312,5,267,25
James Newbury,m,australia,14_2,319,4,134,8
Scott Hutchison,m,australia,14_2,322,3,155,11
Patrick Fitzsimons,m,australia,14_2,325,1,183,16
James Connew,m,australia,14_2,325,1,280,27
Zeke Grove,m,australia,14_3,141,272,433,50
Jerrome McKittrick,m,australia,14_3,141,283,509,59
Luke Pickerd,m,australia,14_3,142,234,467,53
Luke McMahon,m,australia,14_3,143,208,285,28
Wade Barrett,m,australia,14_3,143,204,345,36
Nick Fuentes,m,australia,14_3,143,206,463,52
Dean Linder-Leighton,m,australia,14_3,144,170,206,17
James Connew,m,australia,14_3,144,173,280,27
Chris Medcraft,m,australia,14_3,144,183,359,39
Alex Thackray,m,australia,14_3,144,190,462,51
Luke McGruer,m,australia,14_3,144,187,470,54
Jarrod Bowe,m,australia,14_3,144,172,524,60
Cj Walker,m,australia,14_3,145,153,215,18
Drummond Williamson,m,australia,14_3,145,160,236,19
Hayden LaVanda,m,australia,14_3,145,138,267,25
William Laister,m,australia,14_3,145,142,329,32
Chris Hogan,m,australia,14_3,145,157,337,34
Glen Laws,m,australia,14_3,145,162,393,44
Kyle Frankenfeld,m,australia,14_3,146,135,172,12
Brendan Clarke,m,australia,14_3,147,111,260,23
Kieran Hogan,m,australia,14_3,147,100,367,41
Michael Roach,m,australia,14_3,148,82,238,20
Matthew Forwood,m,australia,14_3,148,86,293,30
Ryan Woodall,m,australia,14_3,148,92,485,55
Scott Mackenzie,m,australia,14_3,149,71,249,22
Cielo marchesi,m,australia,14_3,149,70,392,43
Ben Wadwell,m,australia,14_3,149,72,394,45
James Newbury,m,australia,14_3,150,53,134,8
Khan Porter,m,australia,14_3,150,61,137,9
Patrick Fitzsimons,m,australia,14_3,150,59,183,16
Benjamin Connor,m,australia,14_3,150,60,261,24
Joshua Santhou,m,australia,14_3,150,58,371,42
Doug Armstrong,m,australia,14_3,150,54,400,46
Paul Walton,m,australia,14_3,150,49,417,49
Kosta Ilic,m,australia,14_3,150,51,495,57
John Templeton,m,australia,14_3,151,44,350,37
Scott Hutchison,m,australia,14_3,152,38,155,11
Chad Mackay,m,australia,14_3,152,41,178,14
Kevin Manuel,m,australia,14_3,152,40,287,29
Will Edgar,m,australia,14_3,153,34,332,33
Daniel Lewis,m,australia,14_3,153,35,340,35
Matt Reilly,m,australia,14_3,154,28,79,3
Zach Morton-Adair,m,australia,14_3,154,27,100,6
Callum Gifford,m,australia,14_3,154,26,412,47
Brandon Swan,m,australia,14_3,155,20,82,4
Rory Boyden,m,australia,14_3,155,21,118,7
Michael Gillum,m,australia,14_3,155,24,310,31
Mitchell Sinnamon,m,australia,14_3,155,25,365,40
Ben Garard,m,australia,14_3,156,15,44,2
Michael Mikaere,m,australia,14_3,156,16,154,10
Jason Haywood,m,australia,14_3,156,17,354,38
Nathan Beves,m,australia,14_3,156,14,493,56
Keegan Wolfenden,m,australia,14_3,157,12,90,5
Alex Ranieri,m,australia,14_3,158,11,243,21
Michael Howson,m,australia,14_3,158,10,502,58
Aaron James,m,australia,14_3,162,8,177,13
Matt Bice,m,australia,14_3,167,5,267,25
Rob Forte,m,australia,14_3,168,4,17,1
Luke Starr,m,australia,14_3,169,2,178,14
Sam Joraslafsky,m,australia,14_3,169,3,413,48
Michael Howson,m,australia,14_4,194,294,502,58
Jason Haywood,m,australia,14_4,198,146,354,38
Mitchell Sinnamon,m,australia,14_4,198,148,365,40
Cielo marchesi,m,australia,14_4,199,130,392,43
Doug Armstrong,m,australia,14_4,199,126,400,46
Paul Walton,m,australia,14_4,199,127,417,49
Ryan Woodall,m,australia,14_4,199,144,485,55
Will Edgar,m,australia,14_4,200,106,332,33
Nick Fuentes,m,australia,14_4,202,102,463,52
Kosta Ilic,m,australia,14_4,203,96,495,57
Ben Wadwell,m,australia,14_4,206,90,394,45
Jerrome McKittrick,m,australia,14_4,207,86,509,59
Alex Thackray,m,australia,14_4,208,82,462,51
Jarrod Bowe,m,australia,14_4,212,72,524,60
Chris Medcraft,m,australia,14_4,213,71,359,39
Wade Barrett,m,australia,14_4,217,63,345,36
Joshua Santhou,m,australia,14_4,217,62,371,42
Daniel Lewis,m,australia,14_4,218,59,340,35
Callum Gifford,m,australia,14_4,218,58,412,47
Luke Starr,m,australia,14_4,220,53,178,14
Patrick Fitzsimons,m,australia,14_4,222,47,183,16
Michael Gillum,m,australia,14_4,222,50,310,31
Matthew Forwood,m,australia,14_4,224,46,293,30
Kieran Hogan,m,australia,14_4,224,45,367,41
Khan Porter,m,australia,14_4,225,43,137,9
James Connew,m,australia,14_4,225,41,280,27
Chris Hogan,m,australia,14_4,225,42,337,34
Scott Hutchison,m,australia,14_4,226,37,155,11
Benjamin Connor,m,australia,14_4,226,38,261,24
Sam Joraslafsky,m,australia,14_4,226,40,413,48
Alex Ranieri,m,australia,14_4,227,36,243,21
John Templeton,m,australia,14_4,227,34,350,37
Nathan Beves,m,australia,14_4,227,33,493,56
Matt Bice,m,australia,14_4,228,31,267,25
Luke Pickerd,m,australia,14_4,228,30,467,53
Drummond Williamson,m,australia,14_4,229,27,236,19
Brendan Clarke,m,australia,14_4,229,29,260,23
Luke McMahon,m,australia,14_4,229,26,285,28
Glen Laws,m,australia,14_4,229,25,393,44
Luke McGruer,m,australia,14_4,229,28,470,54
Chad Mackay,m,australia,14_4,231,24,178,14
Scott Mackenzie,m,australia,14_4,231,23,249,22
William Laister,m,australia,14_4,234,20,329,32
Keegan Wolfenden,m,australia,14_4,235,19,90,5
Michael Roach,m,australia,14_4,236,18,238,20
Michael Mikaere,m,australia,14_4,237,17,154,10
Kevin Manuel,m,australia,14_4,238,16,287,29
Zach Morton-Adair,m,australia,14_4,239,14,100,6
Aaron James,m,australia,14_4,239,15,177,13
Brandon Swan,m,australia,14_4,240,12,82,4
Cj Walker,m,australia,14_4,240,13,215,18
Hayden LaVanda,m,australia,14_4,242,11,267,25
James Newbury,m,australia,14_4,244,10,134,8
Zeke Grove,m,australia,14_4,245,8,433,50
Ben Garard,m,australia,14_4,246,6,44,2
Dean Linder-Leighton,m,australia,14_4,248,5,206,17
Rory Boyden,m,australia,14_4,249,4,118,7
Kyle Frankenfeld,m,australia,14_4,252,3,172,12
Matt Reilly,m,australia,14_4,253,2,79,3
Rob Forte,m,australia,14_4,263,1,17,1
Ben Garard,m,australia,14_5,NA,1,44,2
Dean Linder-Leighton,m,australia,14_5,NA,3,206,17
Rob Forte,m,australia,14_5,NA,4,17,1
Kyle Frankenfeld,m,australia,14_5,NA,5,172,12
Brandon Swan,m,australia,14_5,NA,6,82,4
Drummond Williamson,m,australia,14_5,NA,7,236,19
Rory Boyden,m,australia,14_5,NA,10,118,7
Cj Walker,m,australia,14_5,NA,11,215,18
William Laister,m,australia,14_5,NA,12,329,32
Luke Starr,m,australia,14_5,NA,14,178,14
Jerrome McKittrick,m,australia,14_5,NA,16,509,59
Khan Porter,m,australia,14_5,NA,18,137,9
Luke McMahon,m,australia,14_5,NA,18,285,28
Zach Morton-Adair,m,australia,14_5,NA,21,100,6
Zeke Grove,m,australia,14_5,NA,21,433,50
Kieran Hogan,m,australia,14_5,NA,24,367,41
Keegan Wolfenden,m,australia,14_5,NA,25,90,5
Patrick Fitzsimons,m,australia,14_5,NA,26,183,16
Matt Reilly,m,australia,14_5,NA,28,79,3
Hayden LaVanda,m,australia,14_5,NA,28,267,25
James Connew,m,australia,14_5,NA,30,280,27
James Newbury,m,australia,14_5,NA,32,134,8
Nick Fuentes,m,australia,14_5,NA,34,463,52
Wade Barrett,m,australia,14_5,NA,35,345,36
Glen Laws,m,australia,14_5,NA,36,393,44
Chris Medcraft,m,australia,14_5,NA,37,359,39
Aaron James,m,australia,14_5,NA,38,177,13
Alex Thackray,m,australia,14_5,NA,39,462,51
Luke McGruer,m,australia,14_5,NA,40,470,54
Daniel Lewis,m,australia,14_5,NA,43,340,35
Jason Haywood,m,australia,14_5,NA,43,354,38
Will Edgar,m,australia,14_5,NA,45,332,33
Matthew Forwood,m,australia,14_5,NA,47,293,30
Brendan Clarke,m,australia,14_5,NA,50,260,23
Mitchell Sinnamon,m,australia,14_5,NA,50,365,40
Michael Howson,m,australia,14_5,NA,54,502,58
Alex Ranieri,m,australia,14_5,NA,55,243,21
Cielo marchesi,m,australia,14_5,NA,55,392,43
Chad Mackay,m,australia,14_5,NA,65,178,14
Ryan Woodall,m,australia,14_5,NA,66,485,55
Michael Gillum,m,australia,14_5,NA,69,310,31
Luke Pickerd,m,australia,14_5,NA,69,467,53
Scott Hutchison,m,australia,14_5,NA,71,155,11
Michael Roach,m,australia,14_5,NA,71,238,20
Callum Gifford,m,australia,14_5,NA,71,412,47
Chris Hogan,m,australia,14_5,NA,80,337,34
Paul Walton,m,australia,14_5,NA,83,417,49
Michael Mikaere,m,australia,14_5,NA,85,154,10
Scott Mackenzie,m,australia,14_5,NA,91,249,22
Kosta Ilic,m,australia,14_5,NA,96,495,57
John Templeton,m,australia,14_5,NA,100,350,37
Joshua Santhou,m,australia,14_5,NA,108,371,42
Benjamin Connor,m,australia,14_5,NA,114,261,24
Kevin Manuel,m,australia,14_5,NA,115,287,29
Doug Armstrong,m,australia,14_5,NA,123,400,46
Ben Wadwell,m,australia,14_5,NA,132,394,45
Jarrod Bowe,m,australia,14_5,NA,148,524,60
Matt Bice,m,australia,14_5,NA,151,267,25
Sam Joraslafsky,m,australia,14_5,NA,194,413,48
Nathan Beves,m,australia,14_5,NA,231,493,56
Jonathan Caron,m,canadaeast,14_1,347,175,482,54
Matthieu Dubreucq,m,canadaeast,14_1,348,164,395,39
Pierre-Paul Seguin,m,canadaeast,14_1,348,164,396,40
Michael Varalli,m,canadaeast,14_1,348,164,528,60
Karim El Hlimi,m,canadaeast,14_1,350,137,341,31
Alexandre Beaulieu,m,canadaeast,14_1,351,120,384,37
Patrick Vellner,m,canadaeast,14_1,351,120,448,48
Christopher Kalec,m,canadaeast,14_1,352,110,502,56
Jean-Michel Riendeau,m,canadaeast,14_1,353,101,310,26
Camill Leduc,m,canadaeast,14_1,354,93,272,23
Reza Mashkoori,m,canadaeast,14_1,354,93,322,28
Maxime Roy de sylva,m,canadaeast,14_1,355,84,143,9
Paul Tremblay,m,canadaeast,14_1,355,84,253,20
Tommy Snarr,m,canadaeast,14_1,356,75,250,18
Cedrik Bernier,m,canadaeast,14_1,356,75,363,35
Jonathan Laniel,m,canadaeast,14_1,356,75,381,36
daniel latour,m,canadaeast,14_1,356,75,420,43
Mizar Fuentes-Ortega,m,canadaeast,14_1,357,63,287,24
Yves Tourville,m,canadaeast,14_1,357,63,354,32
Maxime Dufault,m,canadaeast,14_1,357,63,450,49
Daniel Viger,m,canadaeast,14_1,357,63,500,55
Pascal Baillargeon,m,canadaeast,14_1,358,55,152,10
Chad Hall,m,canadaeast,14_1,358,55,311,27
Maguid Nicholas,m,canadaeast,14_1,358,55,337,30
Calan Aldred,m,canadaeast,14_1,358,55,416,42
Taras Kit,m,canadaeast,14_1,358,55,471,53
Charles Felx Leduc,m,canadaeast,14_1,360,40,177,13
Adrian Lui,m,canadaeast,14_1,360,40,197,16
Alexandre Caron,m,canadaeast,14_1,360,40,405,41
Phil Cress,m,canadaeast,14_1,360,40,464,52
Yves-Ã‰ric Pilote,m,canadaeast,14_1,360,40,514,58
Andrick Fournier,m,canadaeast,14_1,361,37,118,6
Olek Kubicki,m,canadaeast,14_1,361,37,420,43
Joe Johnson,m,canadaeast,14_1,363,34,183,14
Bruno Thimineur,m,canadaeast,14_1,363,34,260,22
Steve Briscoe,m,canadaeast,14_1,363,34,355,33
Kyle Charbonneau,m,canadaeast,14_1,365,32,425,45
Rick Wilson,m,canadaeast,14_1,366,31,513,57
Matthew Lefave,m,canadaeast,14_1,378,24,163,11
Michael Senecal,m,canadaeast,14_1,378,24,356,34
Alex Vigneault,m,canadaeast,14_1,379,23,64,1
Francois Tremblay,m,canadaeast,14_1,380,21,235,17
Ryan Poroznik,m,canadaeast,14_1,380,21,524,59
Jonathan Gauvreau,m,canadaeast,14_1,384,19,440,46
Manuel Forcier,m,canadaeast,14_1,384,19,459,51
Chad Furey,m,canadaeast,14_1,388,18,132,8
Wes Ng,m,canadaeast,14_1,389,17,127,7
Kyle Cant,m,canadaeast,14_1,392,11,170,12
Dominic Adam,m,canadaeast,14_1,392,11,183,14
Nicolas Leblanc,m,canadaeast,14_1,392,11,258,21
Chris Cristini,m,canadaeast,14_1,392,11,301,25
Peter D'Amore,m,canadaeast,14_1,393,9,111,5
james thelemaque,m,canadaeast,14_1,393,9,252,19
Mike LeBlanc,m,canadaeast,14_1,396,7,392,38
Jeff Larsh,m,canadaeast,14_1,396,7,456,50
Simon Paquette,m,canadaeast,14_1,398,4,101,3
Brandon Crump,m,canadaeast,14_1,398,4,103,4
Jay Rhodes,m,canadaeast,14_1,398,4,447,47
Albert-Dominic Larouche,m,canadaeast,14_1,400,2,65,2
Olivier Donais,m,canadaeast,14_1,400,2,322,28
Ryan Poroznik,m,canadaeast,14_2,173,294,524,59
Steve Briscoe,m,canadaeast,14_2,181,219,355,33
Patrick Vellner,m,canadaeast,14_2,182,215,448,48
Maxime Dufault,m,canadaeast,14_2,189,169,450,49
Manuel Forcier,m,canadaeast,14_2,190,160,459,51
Jonathan Gauvreau,m,canadaeast,14_2,192,141,440,46
Maguid Nicholas,m,canadaeast,14_2,193,132,337,30
Jeff Larsh,m,canadaeast,14_2,193,132,456,50
Taras Kit,m,canadaeast,14_2,193,132,471,53
Jonathan Caron,m,canadaeast,14_2,194,126,482,54
Olivier Donais,m,canadaeast,14_2,195,117,322,28
Daniel Viger,m,canadaeast,14_2,195,117,500,55
Rick Wilson,m,canadaeast,14_2,195,117,513,57
Calan Aldred,m,canadaeast,14_2,197,103,416,42
Chad Hall,m,canadaeast,14_2,198,94,311,27
Phil Cress,m,canadaeast,14_2,198,94,464,52
Alexandre Caron,m,canadaeast,14_2,200,84,405,41
Jay Rhodes,m,canadaeast,14_2,201,77,447,47
Michael Varalli,m,canadaeast,14_2,201,77,528,60
Chris Cristini,m,canadaeast,14_2,202,67,301,25
Yves Tourville,m,canadaeast,14_2,202,67,354,32
Olek Kubicki,m,canadaeast,14_2,202,67,420,43
Bruno Thimineur,m,canadaeast,14_2,203,60,260,22
Jonathan Laniel,m,canadaeast,14_2,203,60,381,36
daniel latour,m,canadaeast,14_2,203,60,420,43
Christopher Kalec,m,canadaeast,14_2,203,60,502,56
Wes Ng,m,canadaeast,14_2,204,56,127,7
Alexandre Beaulieu,m,canadaeast,14_2,206,51,384,37
Dominic Adam,m,canadaeast,14_2,207,48,183,14
Mike LeBlanc,m,canadaeast,14_2,207,48,392,38
Tommy Snarr,m,canadaeast,14_2,227,47,250,18
Camill Leduc,m,canadaeast,14_2,241,42,272,23
Karim El Hlimi,m,canadaeast,14_2,244,38,341,31
Kyle Charbonneau,m,canadaeast,14_2,244,38,425,45
Albert-Dominic Larouche,m,canadaeast,14_2,246,35,65,2
james thelemaque,m,canadaeast,14_2,247,33,252,19
Cedrik Bernier,m,canadaeast,14_2,247,33,363,35
Matthew Lefave,m,canadaeast,14_2,249,32,163,11
Kyle Cant,m,canadaeast,14_2,253,30,170,12
Alex Vigneault,m,canadaeast,14_2,255,27,64,1
Michael Senecal,m,canadaeast,14_2,256,26,356,34
Nicolas Leblanc,m,canadaeast,14_2,257,24,258,21
Reza Mashkoori,m,canadaeast,14_2,257,24,322,28
Jean-Michel Riendeau,m,canadaeast,14_2,259,21,310,26
Pierre-Paul Seguin,m,canadaeast,14_2,259,21,396,40
Andrick Fournier,m,canadaeast,14_2,260,19,118,6
Peter D'Amore,m,canadaeast,14_2,262,15,111,5
Mizar Fuentes-Ortega,m,canadaeast,14_2,262,15,287,24
Matthieu Dubreucq,m,canadaeast,14_2,262,15,395,39
Brandon Crump,m,canadaeast,14_2,263,13,103,4
Joe Johnson,m,canadaeast,14_2,263,13,183,14
Chad Furey,m,canadaeast,14_2,265,11,132,8
Yves-Ã‰ric Pilote,m,canadaeast,14_2,265,11,514,58
Charles Felx Leduc,m,canadaeast,14_2,266,10,177,13
Adrian Lui,m,canadaeast,14_2,267,9,197,16
Francois Tremblay,m,canadaeast,14_2,270,7,235,17
Pascal Baillargeon,m,canadaeast,14_2,271,6,152,10
Paul Tremblay,m,canadaeast,14_2,273,4,253,20
Simon Paquette,m,canadaeast,14_2,279,2,101,3
Maxime Roy de sylva,m,canadaeast,14_2,322,1,143,9
Yves-Ã‰ric Pilote,m,canadaeast,14_3,138,317,514,58
Rick Wilson,m,canadaeast,14_3,140,271,513,57
Nicolas Leblanc,m,canadaeast,14_3,141,218,258,21
Michael Senecal,m,canadaeast,14_3,142,186,356,34
Jay Rhodes,m,canadaeast,14_3,142,204,447,47
Francois Tremblay,m,canadaeast,14_3,143,154,235,17
Paul Tremblay,m,canadaeast,14_3,143,154,253,20
Jonathan Laniel,m,canadaeast,14_3,143,160,381,36
Christopher Kalec,m,canadaeast,14_3,143,167,502,56
Kyle Cant,m,canadaeast,14_3,145,102,170,12
Charles Felx Leduc,m,canadaeast,14_3,145,108,177,13
Mizar Fuentes-Ortega,m,canadaeast,14_3,145,118,287,24
Chris Cristini,m,canadaeast,14_3,145,112,301,25
Reza Mashkoori,m,canadaeast,14_3,145,117,322,28
Cedrik Bernier,m,canadaeast,14_3,145,115,363,35
Pierre-Paul Seguin,m,canadaeast,14_3,145,109,396,40
Alexandre Caron,m,canadaeast,14_3,145,110,405,41
Jeff Larsh,m,canadaeast,14_3,145,119,456,50
Daniel Viger,m,canadaeast,14_3,145,102,500,55
Camill Leduc,m,canadaeast,14_3,146,93,272,23
Mike LeBlanc,m,canadaeast,14_3,146,95,392,38
Olek Kubicki,m,canadaeast,14_3,146,91,420,43
Jean-Michel Riendeau,m,canadaeast,14_3,147,74,310,26
Alexandre Beaulieu,m,canadaeast,14_3,147,83,384,37
Matthieu Dubreucq,m,canadaeast,14_3,147,81,395,39
daniel latour,m,canadaeast,14_3,147,73,420,43
Kyle Charbonneau,m,canadaeast,14_3,147,76,425,45
Michael Varalli,m,canadaeast,14_3,147,77,528,60
Pascal Baillargeon,m,canadaeast,14_3,148,64,152,10
Joe Johnson,m,canadaeast,14_3,148,63,183,14
Taras Kit,m,canadaeast,14_3,148,65,471,53
Peter D'Amore,m,canadaeast,14_3,149,56,111,5
